Station information:,,,,,,,,,,,,
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority,,,,,
"Auckland, Motat Ews",41351,A6487G,-36.86297,174.71185,16,H,Niwa,,,,,
"Wellington, Kelburn Aws",25354,E1427P,-41.28445,174.76794,125,H,Metservice,,,,,
"Note: Position precision types are: ""W"" = based on whole minutes, ""T"" = estimated to tenth minute,",,,,,,,,,,,,
"G = derived from gridref , ""E"" = error cases derived from gridref,",,,,,,,,,,,,
"H = based on GPS readings (NZGD49), ""D"" = by definition i.e. grid points.",,,,,,,,,,,,
,,,,,,,,,,,,
Surface Wind: Wind Run (Km),,,,,,,,,,,,
Station,Date(NZST),Time(NZST),Dir(DegT),WindRUN(km),Dir StdDev,Spd StdDev,Period(Hrs),Freq,,,,
"Auckland, Motat Ews",1/01/2017,8,-,167,-,-,24,D,,,,
"Wellington, Kelburn Aws",1/01/2017,8,-,759,-,-,24,D,,,,
"Auckland, Motat Ews",2/01/2017,8,-,276,-,-,24,D,,,,
"Wellington, Kelburn Aws",2/01/2017,8,-,790,-,-,24,D,,,,
"Auckland, Motat Ews",3/01/2017,8,-,278,-,-,24,D,,,,
"Wellington, Kelburn Aws",3/01/2017,8,-,454,-,-,24,D,,,,
"Auckland, Motat Ews",4/01/2017,8,-,397,-,-,24,D,,,,
"Wellington, Kelburn Aws",4/01/2017,8,-,327,-,-,24,D,,,,
"Auckland, Motat Ews",5/01/2017,8,-,442,-,-,24,D,,,,
"Wellington, Kelburn Aws",5/01/2017,8,-,424,-,-,24,D,,,,
"Auckland, Motat Ews",6/01/2017,8,-,238,-,-,24,D,,,,
"Wellington, Kelburn Aws",6/01/2017,8,-,402,-,-,24,D,,,,
"Auckland, Motat Ews",7/01/2017,8,-,219,-,-,24,D,,,,
"Wellington, Kelburn Aws",7/01/2017,8,-,425,-,-,24,D,,,,
"Auckland, Motat Ews",8/01/2017,8,-,357,-,-,24,D,,,,
"Wellington, Kelburn Aws",8/01/2017,8,-,282,-,-,24,D,,,,
"Auckland, Motat Ews",9/01/2017,8,-,353,-,-,24,D,,,,
"Wellington, Kelburn Aws",9/01/2017,8,-,418,-,-,24,D,,,,
"Auckland, Motat Ews",10/01/2017,8,-,309,-,-,24,D,,,,
"Wellington, Kelburn Aws",10/01/2017,8,-,596,-,-,24,D,,,,
"Auckland, Motat Ews",11/01/2017,8,-,265,-,-,24,D,,,,
"Wellington, Kelburn Aws",11/01/2017,8,-,468,-,-,24,D,,,,
"Auckland, Motat Ews",12/01/2017,8,-,224,-,-,24,D,,,,
